DayOfYear;flux_m3/s;S_PSU;dis_PSU*m3/s
1;-6.6378436;0.3;-1.9913530826568602
2;-5.881592;0.3;-1.7644775390625
3;-5.971848;0.3;-1.7915544033050537
4;-5.518613;0.3;-1.6555838584899902
5;-4.9311633;0.3;-1.4793489933013915
6;-5.0225863;0.3;-1.5067759037017823
7;-4.8576627;0.3;-1.4572988033294678
8;-5.703008;0.3;-1.710902452468872
9;-5.8878407;0.3;-1.7663522243499756
10;-5.3775496;0.3;-1.6132648944854735
11;-4.67013;0.3;-1.401038932800293
12;-5.397922;0.3;-1.6193766117095947
13;-4.20595;0.3;-1.2617849349975585
14;-12.099657;0.3;-3.629897117614746
15;-21.823086;0.3;-6.546925735473633
16;-13.650339;0.3;-4.095101737976074
17;-22.652807;0.3;-6.795842170715332
18;-47.72999;0.3;-14.31899642944336
19;-24.120941;0.3;-7.2362823486328125
20;-14.269038;0.3;-4.280711460113525
21;-11.157118;0.3;-3.3471353530883787
22;-10.279706;0.3;-3.0839118003845214
23;-8.765195;0.3;-2.62955846786499
24;-7.5136967;0.3;-2.254109001159668
25;-6.602166;0.3;-1.9806498527526855
26;-5.8812675;0.3;-1.7643802642822266
27;-10.497513;0.3;-3.1492538452148438
28;-16.701736;0.3;-5.010520935058594
29;-18.234138;0.3;-5.470241546630859
30;-12.787205;0.3;-3.836161422729492
31;-10.029076;0.3;-3.008722686767578
32;-9.298193;0.3;-2.789457893371582
33;-11.282208;0.3;-3.3846625328063964
34;-8.973582;0.3;-2.692074680328369
35;-7.8982787;0.3;-2.3694836139678954
36;-5.94641;0.3;-1.783923053741455
37;-6.178113;0.3;-1.8534338951110838
38;-5.799118;0.3;-1.7397354125976563
39;-5.818517;0.3;-1.7455551624298096
40;-13.05014;0.3;-3.9150421142578122
41;-30.205647;0.3;-9.061693954467772
42;-16.138811;0.3;-4.841643333435059
43;-10.800665;0.3;-3.2401994705200194
44;-7.919378;0.3;-2.375813341140747
45;-6.335802;0.3;-1.900740623474121
46;-7.2676635;0.3;-2.1802990436553955
47;-40.566963;0.3;-12.170088958740234
48;-30.380356;0.3;-9.114106750488281
49;-16.962717;0.3;-5.088815116882324
50;-11.726886;0.3;-3.5180657386779783
51;-12.074458;0.3;-3.622337436676025
52;-25.62668;0.3;-7.688004112243652
53;-17.218254;0.3;-5.16547622680664
54;-14.039612;0.3;-4.211883544921875
55;-10.396241;0.3;-3.1188723564147947
56;-8.432297;0.3;-2.529689025878906
57;-6.4358935;0.3;-1.930768060684204
58;-4.907886;0.3;-1.4723658084869384
59;-4.9037466;0.3;-1.4711239814758301
60;-4.8277645;0.3;-1.4483293533325194
61;-5.020687;0.3;-1.5062061309814452
62;-5.9241056;0.3;-1.7772316932678223
63;-6.4754367;0.3;-1.9426310062408447
64;-7.0557637;0.3;-2.1167291164398194
65;-5.8634253;0.3;-1.759027576446533
66;-4.9520235;0.3;-1.4856070518493651
67;-4.634956;0.3;-1.390486764907837
68;-7.992545;0.3;-2.3977635383605955
69;-14.65007;0.3;-4.395021057128906
70;-18.371996;0.3;-5.511598777770996
71;-26.741737;0.3;-8.022521209716796
72;-16.151123;0.3;-4.8453369140625
73;-11.15687;0.3;-3.347060966491699
74;-8.193052;0.3;-2.457915687561035
75;-8.703157;0.3;-2.6109472274780274
76;-9.908456;0.3;-2.972536754608154
77;-9.2273;0.3;-2.7681899070739746
78;-10.097578;0.3;-3.0292734146118163
79;-9.263409;0.3;-2.7790225982666015
80;-8.150836;0.3;-2.4452507972717283
81;-6.842461;0.3;-2.052738332748413
82;-6.033364;0.3;-1.8100091457366942
83;-5.7403407;0.3;-1.7221022129058838
84;-5.2639456;0.3;-1.5791836738586424
85;-5.198439;0.3;-1.5595317363739014
86;-5.7568636;0.3;-1.7270590782165527
87;-7.4997163;0.3;-2.2499148845672607
88;-7.720402;0.3;-2.3161205291748046
89;-6.584289;0.3;-1.9752867221832275
90;-5.8534756;0.3;-1.7560426712036132
91;-4.796279;0.3;-1.4388836860656737
92;-5.0990887;0.3;-1.5297266006469725
93;-5.400251;0.3;-1.620075273513794
94;-5.2209697;0.3;-1.5662909030914307
95;-4.5648656;0.3;-1.3694596767425538
96;-4.582652;0.3;-1.374795627593994
97;-4.8941574;0.3;-1.4682472229003907
98;-6.9599657;0.3;-2.0879897117614745
99;-8.760344;0.3;-2.6281030654907225
100;-8.41048;0.3;-2.5231438636779786
101;-7.6030297;0.3;-2.2809089183807374
102;-6.83747;0.3;-2.0512410163879395
103;-7.888804;0.3;-2.3666411876678466
104;-9.122942;0.3;-2.7368825912475585
105;-6.7933507;0.3;-2.0380052089691163
106;-5.9122586;0.3;-1.7736775875091553
107;-8.591697;0.3;-2.5775090217590333
108;-7.789573;0.3;-2.3368719577789308
109;-6.548811;0.3;-1.9646432876586912
110;-5.9708204;0.3;-1.7912461280822753
111;-6.2701793;0.3;-1.8810537815093993
112;-7.4649844;0.3;-2.239495325088501
113;-7.9763594;0.3;-2.3929078102111814
114;-7.598675;0.3;-2.2796024322509765
115;-6.84653;0.3;-2.0539589881896974
116;-5.8230085;0.3;-1.746902561187744
117;-5.1926847;0.3;-1.5578053951263426
118;-8.467476;0.3;-2.5402427673339845
119;-13.109712;0.3;-3.932913494110107
120;-9.410175;0.3;-2.823052597045898
121;-7.0006127;0.3;-2.1001838207244874
122;-10.772276;0.3;-3.231682777404785
123;-12.5504875;0.3;-3.765146255493164
124;-9.660552;0.3;-2.8981656074523925
125;-7.615613;0.3;-2.2846838951110837
126;-6.2103744;0.3;-1.8631123065948485
127;-5.1896257;0.3;-1.5568877220153807
128;-4.487465;0.3;-1.3462394714355468
129;-4.285569;0.3;-1.2856707572937012
130;-3.9056573;0.3;-1.171697187423706
131;-5.62782;0.3;-1.6883460044860839
132;-5.4036474;0.3;-1.6210942268371582
133;-4.535805;0.3;-1.3607415676116943
134;-4.162822;0.3;-1.2488465309143066
135;-3.916341;0.3;-1.174902319908142
136;-3.4156137;0.3;-1.0246840953826903
137;-3.1132586;0.3;-0.9339775800704956
138;-2.8739293;0.3;-0.8621787786483764
139;-2.7002573;0.3;-0.8100771903991699
140;-2.4254353;0.3;-0.7276305913925171
141;-2.247591;0.3;-0.6742773056030273
142;-2.1483078;0.3;-0.6444923400878906
143;-2.202102;0.3;-0.6606305837631226
144;-3.145154;0.3;-0.9435461997985839
145;-3.7599313;0.3;-1.1279793977737427
146;-5.074914;0.3;-1.522474193572998
147;-3.882695;0.3;-1.1648084878921507
148;-3.1875207;0.3;-0.9562562227249145
149;-2.721688;0.3;-0.8165064096450806
150;-2.396418;0.3;-0.7189254283905029
151;-2.1927466;0.3;-0.6578239917755127
152;-2.0244167;0.3;-0.607325005531311
153;-1.8957806;0.3;-0.5687341690063477
154;-1.7825462;0.3;-0.5347638487815857
155;-1.7038091;0.3;-0.5111427426338195
156;-1.8513308;0.3;-0.5553992271423339
157;-2.1010048;0.3;-0.6303014516830444
158;-3.9721916;0.3;-1.1916574716567994
159;-15.016217;0.3;-4.5048651695251465
160;-10.124781;0.3;-3.037434196472168
161;-6.730769;0.3;-2.0192307472229003
162;-4.950512;0.3;-1.485153579711914
163;-3.6789055;0.3;-1.103671646118164
164;-3.036599;0.3;-0.910979676246643
165;-2.5537102;0.3;-0.7661130666732788
166;-2.2417645;0.3;-0.6725293636322022
167;-2.022119;0.3;-0.6066357135772705
168;-1.9016719;0.3;-0.5705015659332275
169;-1.850885;0.3;-0.5552655100822449
170;-1.7968422;0.3;-0.5390526652336121
171;-1.6454865;0.3;-0.4936459422111511
172;-1.7129021;0.3;-0.5138706207275391
173;-3.8552165;0.3;-1.1565649509429932
174;-14.430471;0.3;-4.329141426086426
175;-8.177033;0.3;-2.4531100273132322
176;-5.092262;0.3;-1.5276785373687745
177;-3.6329775;0.3;-1.0898932456970214
178;-2.7186215;0.3;-0.8155864477157593
179;-2.4889684;0.3;-0.7466905117034912
180;-7.116078;0.3;-2.134823369979858
181;-12.70655;0.3;-3.8119648933410644
182;-16.96249;0.3;-5.088747024536133
183;-16.391327;0.3;-4.917398071289062
184;-10.918507;0.3;-3.2755519866943357
185;-7.639492;0.3;-2.2918476104736327
186;-6.4377494;0.3;-1.931324815750122
187;-18.661999;0.3;-5.598599624633789
188;-21.051794;0.3;-6.315538215637207
189;-14.7307005;0.3;-4.419210147857666
190;-26.618952;0.3;-7.985685539245605
191;-14.007811;0.3;-4.20234317779541
192;-9.120256;0.3;-2.7360769271850587
193;-7.475295;0.3;-2.242588520050049
194;-5.5147214;0.3;-1.6544164180755614
195;-4.3865848;0.3;-1.3159754276275635
196;-4.776316;0.3;-1.4328948497772216
197;-12.023139;0.3;-3.6069416999816895
198;-8.439418;0.3;-2.5318253517150877
199;-6.3651404;0.3;-1.90954213142395
200;-5.4161634;0.3;-1.6248490333557128
201;-7.6906037;0.3;-2.3071811199188232
202;-10.301171;0.3;-3.090351390838623
203;-6.9786925;0.3;-2.093607759475708
204;-5.222378;0.3;-1.5667133331298828
205;-4.209721;0.3;-1.2629163265228271
206;-3.6426606;0.3;-1.0927981853485107
207;-3.168406;0.3;-0.9505218029022217
208;-5.699259;0.3;-1.7097776412963868
209;-17.315546;0.3;-5.19466381072998
210;-30.184278;0.3;-9.055283546447754
211;-33.57506;0.3;-10.07251853942871
212;-20.32744;0.3;-6.098232078552246
213;-11.284843;0.3;-3.3854530334472654
214;-7.601865;0.3;-2.28055944442749
215;-6.090251;0.3;-1.8270752906799315
216;-5.437799;0.3;-1.631339693069458
217;-4.756101;0.3;-1.4268303394317627
218;-4.6957307;0.3;-1.4087192058563232
219;-5.3262806;0.3;-1.597884178161621
220;-4.726747;0.3;-1.4180241107940674
221;-4.019227;0.3;-1.20576810836792
222;-3.6056385;0.3;-1.0816915512084961
223;-3.1247706;0.3;-0.9374311923980713
224;-2.6716604;0.3;-0.8014981269836425
225;-2.6325305;0.3;-0.7897591352462768
226;-2.497419;0.3;-0.7492257356643677
227;-4.0989623;0.3;-1.2296886920928956
228;-2.9238935;0.3;-0.8771680355072021
229;-2.627889;0.3;-0.7883666753768921
230;-2.371542;0.3;-0.7114625930786133
231;-2.1342814;0.3;-0.6402844190597534
232;-1.972021;0.3;-0.5916062951087951
233;-1.8839463;0.3;-0.5651838898658752
234;-2.8148239;0.3;-0.8444471597671509
235;-4.843938;0.3;-1.4531813621520995
236;-3.6810133;0.3;-1.1043040037155152
237;-3.0092273;0.3;-0.9027681827545165
238;-2.465841;0.3;-0.7397523164749146
239;-2.2085752;0.3;-0.6625725746154785
240;-2.059984;0.3;-0.6179951906204223
241;-2.063098;0.3;-0.618929386138916
242;-2.2733643;0.3;-0.6820092916488647
243;-1.9711468;0.3;-0.5913440465927123
244;-1.8339807;0.3;-0.5501942038536072
245;-1.6952084;0.3;-0.5085625290870667
246;-1.6081994;0.3;-0.482459807395935
247;-1.5516238;0.3;-0.46548714637756344
248;-1.5819752;0.3;-0.47459256649017334
249;-1.5694515;0.3;-0.4708354353904724
250;-1.5113658;0.3;-0.45340973138809204
251;-1.514507;0.3;-0.4543521165847778
252;-1.5270427;0.3;-0.45811282396316527
253;-1.8376561;0.3;-0.551296842098236
254;-1.7071267;0.3;-0.512138020992279
255;-1.5606272;0.3;-0.46818816661834717
256;-1.467812;0.3;-0.44034358263015744
257;-1.4078363;0.3;-0.4223508954048157
258;-1.4033785;0.3;-0.42101354598999025
259;-1.3973312;0.3;-0.4191993713378906
260;-1.3634508;0.3;-0.40903522968292233
261;-1.3057142;0.3;-0.39171427488327026
262;-1.2585461;0.3;-0.37756383419036865
263;-1.2398638;0.3;-0.37195912599563596
264;-1.2209942;0.3;-0.3662982702255249
265;-1.2052357;0.3;-0.36157071590423584
266;-1.1998514;0.3;-0.3599554181098938
267;-1.3285705;0.3;-0.3985711455345154
268;-2.6341977;0.3;-0.790259313583374
269;-3.1233315;0.3;-0.9369994640350341
270;-25.330545;0.3;-7.599163627624511
271;-16.27859;0.3;-4.883576774597167
272;-10.386501;0.3;-3.1159503936767576
273;-7.4923887;0.3;-2.2477166175842282
274;-6.477403;0.3;-1.9432209491729735
275;-5.7557163;0.3;-1.7267148971557618
276;-5.07613;0.3;-1.5228389739990233
277;-4.4919195;0.3;-1.347575855255127
278;-5.4840803;0.3;-1.6452240943908691
279;-33.975533;0.3;-10.192659759521485
280;-26.2036;0.3;-7.861079978942871
281;-31.851788;0.3;-9.555536270141602
282;-20.539448;0.3;-6.161834335327148
283;-19.567549;0.3;-5.870264625549316
284;-39.82411;0.3;-11.947232437133788
285;-62.97411;0.3;-18.89223289489746
286;-24.017765;0.3;-7.205329513549804
287;-13.693441;0.3;-4.1080324172973635
288;-9.603616;0.3;-2.8810847282409666
289;-7.5640593;0.3;-2.269217777252197
290;-6.094958;0.3;-1.8284873485565185
291;-5.257173;0.3;-1.5771519184112548
292;-4.776916;0.3;-1.4330748081207274
293;-4.164297;0.3;-1.2492891311645506
294;-7.5665116;0.3;-2.269953489303589
295;-27.961327;0.3;-8.388397979736327
296;-43.50972;0.3;-13.052915954589844
297;-36.612766;0.3;-10.983829879760743
298;-19.748455;0.3;-5.924536514282226
299;-54.44968;0.3;-16.33490409851074
300;-36.58192;0.3;-10.974576187133788
301;-46.403328;0.3;-13.920998382568358
302;-54.495277;0.3;-16.348583221435547
303;-28.293653;0.3;-8.488096046447753
304;-16.713667;0.3;-5.014100074768066
305;-19.871023;0.3;-5.961306953430175
306;-45.05669;0.3;-13.517007064819335
307;-78.47752;0.3;-23.54325714111328
308;-32.01033;0.3;-9.603099060058593
309;-17.389275;0.3;-5.2167823791503904
310;-11.947495;0.3;-3.5842486381530763
311;-9.283721;0.3;-2.7851162910461427
312;-7.5707994;0.3;-2.2712398052215574
313;-6.5491247;0.3;-1.9647374153137207
314;-5.80916;0.3;-1.7427480697631836
315;-5.1911116;0.3;-1.5573334693908691
316;-5.4892673;0.3;-1.6467802047729492
317;-6.550734;0.3;-1.9652202129364014
318;-9.369735;0.3;-2.810920429229736
319;-26.531288;0.3;-7.9593864440917965
320;-43.914486;0.3;-13.174345779418944
321;-113.26047;0.3;-33.97814025878906
322;-44.54411;0.3;-13.363232803344726
323;-22.707087;0.3;-6.812125968933105
324;-15.280679;0.3;-4.584203624725341
325;-11.109238;0.3;-3.3327713012695312
326;-9.489796;0.3;-2.846938705444336
327;-8.46876;0.3;-2.540627861022949
328;-7.2759695;0.3;-2.1827908515930177
329;-6.361766;0.3;-1.9085297584533691
330;-5.656736;0.3;-1.6970207691192627
331;-5.7509937;0.3;-1.7252981185913085
332;-5.111199;0.3;-1.533359670639038
333;-4.3957844;0.3;-1.3187353134155273
334;-4.0678954;0.3;-1.2203686237335205
335;-3.9538038;0.3;-1.1861411333084106
336;-5.2179956;0.3;-1.5653986930847168
337;-4.544205;0.3;-1.363261556625366
338;-5.6860995;0.3;-1.7058298587799072
339;-5.8264246;0.3;-1.7479273796081543
340;-5.187433;0.3;-1.556229829788208
341;-5.7334046;0.3;-1.720021390914917
342;-13.022955;0.3;-3.9068864822387694
343;-28.823925;0.3;-8.647177505493163
344;-25.758692;0.3;-7.727607536315918
345;-20.502821;0.3;-6.150846290588379
346;-16.651455;0.3;-4.995436477661133
347;-12.050101;0.3;-3.6150303840637203
348;-9.904229;0.3;-2.9712687492370606
349;-19.60983;0.3;-5.882949256896972
350;-30.976213;0.3;-9.292864036560058
351;-28.059736;0.3;-8.417920875549315
352;-24.796978;0.3;-7.439093399047851
353;-36.803856;0.3;-11.041156768798828
354;-31.369707;0.3;-9.410912132263183
355;-53.183586;0.3;-15.95507583618164
356;-38.84063;0.3;-11.652188873291015
357;-40.22543;0.3;-12.067628860473633
358;-30.41952;0.3;-9.125855827331543
359;-17.30104;0.3;-5.190312194824219
360;-11.274854;0.3;-3.382456111907959
361;-9.157851;0.3;-2.7473553657531737
362;-57.34934;0.3;-17.204801559448242
363;-44.236267;0.3;-13.270880126953125
364;-28.834835;0.3;-8.65045051574707
365;-36.799416;0.3;-11.039824676513671
366;-22.393263;0.3;-6.717978858947753
